,Period,Year,Month,Location,Gender,Marital-status,Age-group,Occupation,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
22,20/03/2024,2024,3,N25,Female,Married,Millennials,Business owner,Middle Income,Same,More,Same,Not sure,Not sure,Same,Less,Less,Less,Less,Same
23,20/03/2024,2024,3,N17,Female,Married,Millennials,Business owner,High Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same
24,20/03/2024,2024,3,NK1,Male,Married,Gen X,Business owner,Middle Income,Same,More,More,Less,Not sure,Same,Same,Less,Same,Same,More
25,20/03/2024,2024,3,N2,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same
26,20/03/2024,2024,3,N16,Male,Married,Gen X,Business owner,Middle Income,Same,Same,Same,Less,Same,Not sure,Not sure,Same,Same,Same,More
27,20/03/2024,2024,3,NK1,Female,Married,Gen X,Business owner,Middle Income,Same,Same,Same,Less,Less,Same,Same,Less,Same,Less,More
28,20/03/2024,2024,3,N21,Male,Married,Gen X,Business owner,High Income,More,More,More,Same,Same,Same,Same,Same,Same,Same,Same
29,20/03/2024,2024,3,N8,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Same,Less,Same,Same,More
30,20/03/2024,2024,3,N11,Male,Married,Gen X,Business owner,Middle Income,More,Same,Same,More,More,Same,More,Same,Same,Less,More
31,20/03/2024,2024,3,N12,Male,Married,Baby Boomers,Business owner,Middle Income,Less,Less,Same,Less,Not sure,Less,Same,Same,Same,Same,Same
32,20/03/2024,2024,3,N2,Male,Married,Millennials,Business owner,High Income,Same,More,Same,Same,Same,Same,Same,Same,More,Same,Same
33,20/03/2024,2024,3,N27,Female,Married,Baby Boomers,Salaried employee,Middle Income,Less,More,More,Not sure,Not sure,More,Same,Same,Same,More,Same
34,20/03/2024,2024,3,N11,Female,Married,Gen X,Salaried employee,High Income,More,More,More,Same,Same,Less,Same,Less,Not sure,Same,Same
35,20/03/2024,2024,3,N47,Female,Married,Gen X,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
36,20/03/2024,2024,3,N25,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Not sure,Less,Same,Less,Less,Less,Same,Same
37,20/03/2024,2024,3,NK1,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,More,Less,Not sure,Less,Less,Same,Same,Same,More
38,20/03/2024,2024,3,N12,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,More,Same,Same,More,Same,Same,More
39,20/03/2024,2024,3,N11,Female,Married,Baby Boomers,Unemployed,High Income,More,More,More,Same,Less,Same,Less,Same,Less,Less,Same
40,20/03/2024,2024,3,N41,Female,Married,Millennials,Unemployed,Low Income,Same,More,Same,More,More,More,More,More,Same,Same,Same
41,20/03/2024,2024,3,N42,Male,Married,Baby Boomers,Unemployed,Middle Income,Less,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Less,Less
42,20/03/2024,2024,3,N5,Male,Married,Gen X,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
43,20/03/2024,2024,3,N5,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
44,20/03/2024,2024,3,N5,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
45,20/03/2024,2024,3,N5,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
46,20/03/2024,2024,3,N5,Male,Married,Baby Boomers,Self employed/Contractor,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
47,20/03/2024,2024,3,N48,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Not sure,Less,Not sure,Same,Same,Not sure,Same,Same,Less
48,20/03/2024,2024,3,N2,Male,Married,Gen X,Self employed/Contractor,High Income,Same,Same,Same,Same,Less,Same,Same,Same,Same,Same,Same
49,20/03/2024,2024,3,N14,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,More,Less,Less,Less,Same,Same,Same,Same,Same,Same
50,20/03/2024,2024,3,N9,Female,Married,Millennials,Self employed/Contractor,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
51,20/03/2024,2024,3,N14,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Less,Same,Same,Less,Not sure,Less,Same,Not sure,Same,Same
52,20/03/2024,2024,3,N17,Female,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,More,Not sure,Same,Same,Same,Less,Same,More
53,20/03/2024,2024,3,N47,Female,Married,Gen X,Salaried employee,High Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
54,20/03/2024,2024,3,N47,Female,Married,Gen X,Salaried employee,High Income,Same,Same,More,Same,Not sure,Same,Same,Same,Same,Same,Same
55,20/03/2024,2024,3,N11,Female,Married,Gen X,Salaried employee,Middle Income,Less,Same,More,Same,More,Less,Same,More,Less,More,Same
56,20/03/2024,2024,3,N2,Male,Married,Gen Z,Salaried employee,Middle Income,Same,Less,Same,Less,Same,Same,Same,Less,Same,Less,Same
57,20/03/2024,2024,3,N20,Male,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Same,Less,Less,Same,More,Same
58,20/03/2024,2024,3,N42,Female,Married,Baby Boomers,Salaried employee,Middle Income,Not sure,Not sure,Not sure,Less,Less,Same,Not sure,Not sure,Not sure,Not sure,Not sure
59,20/03/2024,2024,3,N9,Female,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Same,Same,Same,Same,Same,More
60,20/03/2024,2024,3,N47,Male,Married,Millennials,Salaried employee,High Income,Same,Same,Same,Less,Less,Same,Same,Less,Same,Same,Same
61,20/03/2024,2024,3,N35,Male,Married,Millennials,Salaried employee,Middle Income,More,More,More,More,More,More,Same,Same,More,More,Same
62,20/03/2024,2024,3,N11,Female,Married,Millennials,Salaried employee,Middle Income,Less,Same,Same,More,Same,More,Not sure,More,Not sure,More,Same
63,20/03/2024,2024,3,N50,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Not sure,Same,Less,Less,Less,Same,Same
64,20/03/2024,2024,3,N14,Female,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,More,More,More,Same,More,More,Same,More
65,20/03/2024,2024,3,N5,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
66,20/03/2024,2024,3,N9,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
67,20/03/2024,2024,3,N11,Female,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Less,Same,Same,Same,More,Same
68,20/03/2024,2024,3,N18,Male,Married,Gen X,Business owner,Middle Income,Same,Same,More,Same,Not sure,Same,Same,Less,Less,Less,Less
69,20/03/2024,2024,3,N31,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Less,Same,Same,Same,Less,Less,Less,Less
70,20/03/2024,2024,3,N11,Male,Married,Gen X,Business owner,Middle Income,Same,More,Same,Less,Same,Less,More,Same,More,Same,Less
71,20/03/2024,2024,3,N2,Male,Married,Millennials,Business owner,Middle Income,Same,Less,Same,Same,Same,Same,Same,Less,Same,Less,Same
72,20/03/2024,2024,3,N9,Male,Married,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
73,20/03/2024,2024,3,N9,Male,Married,Gen X,Business owner,High Income,Same,Same,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
74,20/03/2024,2024,3,N13,Male,Married,Gen X,Business owner,Middle Income,Same,Same,Same,Same,Less,Same,Less,Less,Less,Less,Same
75,20/03/2024,2024,3,N6,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Same,Less,Less,Less,Less,Same
76,20/03/2024,2024,3,N6,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Same
77,20/03/2024,2024,3,N6,Female,Married,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Same
78,20/03/2024,2024,3,N36,Female,Married,Millennials,Salaried employee,Middle Income,Same,Less,More,Less,Not sure,More,Same,Less,More,More,Same
79,20/03/2024,2024,3,N36,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,More,More,More,Not sure,More,Same,More,Same,Same,More
80,20/03/2024,2024,3,N13,Female,Married,Baby Boomers,Business owner,Middle Income,Same,Less,Same,Less,Less,Less,Less,Less,Less,Less,Less
81,20/03/2024,2024,3,N50,Female,Married,Millennials,Salaried employee,Middle Income,Less,Less,Same,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Less,Same
82,20/03/2024,2024,3,N28,Female,Married,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
83,20/03/2024,2024,3,N22,Male,Cohabiting,Millennials,Salaried employee,Low Income,Less,Same,Same,Same,Same,Same,More,Less,Same,Less,Less
84,20/03/2024,2024,3,N13,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less,Less
85,20/03/2024,2024,3,N36,Male,Divorced/Separated/Widowed,Gen X,Business owner,High Income,Same,Less,Same,Same,Less,Same,More,Same,Less,Same,More
86,20/03/2024,2024,3,N36,Female,Divorced/Separated/Widowed,Baby Boomers,Business owner,High Income,More,Same,Same,More,Less,Same,More,Same,Less,Same,More
87,20/03/2024,2024,3,N13,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Less,Same,Less,Less,Less,Less,Less,Less,Less,Less
88,20/03/2024,2024,3,N18,Male,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,Middle Income,More,Same,More,More,More,Less,Less,Same,Less,Same,Same
89,20/03/2024,2024,3,N30,Male,Dating,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
90,20/03/2024,2024,3,N28,Female,Single,Gen Z,Salaried employee,Middle Income,More,Same,Same,Same,Less,Same,More,Same,Same,More,Same
91,20/03/2024,2024,3,N9,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Same,More,Less,Same,Same,Same,Same,Less,Less,More
92,20/03/2024,2024,3,N28,Male,Divorced/Separated/Widowed,Gen X,Self employed/Contractor,Middle Income,Less,Less,Less,Less,Same,Less,Less,Less,Less,Same,Less
93,20/03/2024,2024,3,N21,Female,Divorced/Separated/Widowed,Millennials,Business owner,Low Income,Same,Same,Same,Less,Less,Same,Less,Less,Same,Same,Same
94,20/03/2024,2024,3,N25,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Less,Same,Not sure,Not sure,Less,Less,Less,Same,Same,Same
95,20/03/2024,2024,3,N9,Female,Cohabiting,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Not sure,Less,Same,Same,Same,Same,Same,Same
96,20/03/2024,2024,3,N42,Male,Divorced/Separated/Widowed,Baby Boomers,Business owner,Middle Income,Less,Same,Not sure,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Same
97,20/03/2024,2024,3,N28,Female,Cohabiting,Millennials,Self employed/Contractor,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
98,20/03/2024,2024,3,N9,Female,Cohabiting,Millennials,Business owner,Middle Income,Same,Same,More,Less,Not sure,Same,Same,Same,Same,Less,More
99,20/03/2024,2024,3,N9,Male,Cohabiting,Millennials,Self employed/Contractor,Middle Income,Same,Same,More,Less,Less,Same,Same,Same,Less,Same,More
100,20/03/2024,2024,3,N9,Female,Cohabiting,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
101,20/03/2024,2024,3,N9,Male,Dating,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Less,Less,Less,Same,Same,Less,Same,More
102,20/03/2024,2024,3,N9,Male,Dating,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
103,20/03/2024,2024,3,N21,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Same
104,20/03/2024,2024,3,N48,Male,Dating,Millennials,Salaried employee,Middle Income,More,Less,More,More,Not sure,Same,Same,Less,More,Same,Same
105,20/03/2024,2024,3,N8,Male,Dating,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,More,More
106,20/03/2024,2024,3,N18,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,Same,Less,Same,Less,Same,More
107,20/03/2024,2024,3,N36,Male,Divorced/Separated/Widowed,Gen X,Self employed/Contractor,Middle Income,More,More,Same,Same,Not sure,More,Not sure,More,Not sure,More,Not sure
108,20/03/2024,2024,3,N35,Female,Single,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,More,More,More,More,More
109,20/03/2024,2024,3,N12,Female,Divorced/Separated/Widowed,Baby Boomers,Business owner,High Income,More,More,Less,More,More,More,Less,More,Same,More,More
110,20/03/2024,2024,3,N17,Female,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Not sure,Less,Same,Same,Same,Less,More,Same
111,20/03/2024,2024,3,N17,Female,Divorced/Separated/Widowed,Millennials,Self employed/Contractor,High Income,Same,Same,Same,Less,Same,Same,Same,Less,Less,Less,Same
112,20/03/2024,2024,3,N17,Female,Dating,Gen Z,Student,High Income,Same,Not sure,Not sure,Not sure,Same,Same,Same,More,More,More,More
113,20/03/2024,2024,3,N9,Male,Dating,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
114,20/03/2024,2024,3,N50,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Less,Less
115,20/03/2024,2024,3,N11,Male,Single,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Not sure,Same,Not sure,Same,More
116,20/03/2024,2024,3,NK1,Female,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Less,Less,Less,Less,Same
117,20/03/2024,2024,3,N12,Male,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Less,Less,Same
118,20/03/2024,2024,3,N18,Male,Cohabiting,Millennials,Salaried employee,Middle Income,More,More,More,Same,Less,Same,Less,Same,Same,More,Same
119,20/03/2024,2024,3,N2,Female,Dating,Gen Z,Salaried employee,Middle Income,Same,Less,Same,Same,Same,Same,Same,Less,Same,Same,Same
120,20/03/2024,2024,3,N14,Male,Dating,Gen X,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Not sure,Not sure,Same,Not sure,Same,Same
121,20/03/2024,2024,3,N11,Female,Dating,Millennials,Salaried employee,Middle Income,More,Same,Same,Same,Same,Same,Same,Less,Same,Same,Less
122,20/03/2024,2024,3,NK1,Female,Cohabiting,Gen X,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Less,Same
123,20/03/2024,2024,3,N17,Male,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Same,More,More,Same,Same,Same,Same
124,20/03/2024,2024,3,N17,Male,Cohabiting,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Less,Same,Same,Same,Same,More,More
125,20/03/2024,2024,3,N12,Female,Single,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Less,More,More,More,More,More,More
126,20/03/2024,2024,3,N22,Female,Divorced/Separated/Widowed,Millennials,Salaried employee,Low Income,Same,Same,Less,Same,Less,More,More,Same,Same,Same,Same
127,20/03/2024,2024,3,N10,Female,Single,Gen Z,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Less,Less,Less,Less,Less,Same
128,20/03/2024,2024,3,N5,Female,Married,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
129,20/03/2024,2024,3,N5,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
130,20/03/2024,2024,3,N5,Female,Married,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
131,20/03/2024,2024,3,N5,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
132,20/03/2024,2024,3,N5,Female,Married,Millennials,Self employed/Contractor,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
133,20/03/2024,2024,3,N5,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
134,20/03/2024,2024,3,N48,Female,Single,Gen Z,Unemployed,Low Income,Same,Less,Not sure,Not sure,More,Same,Same,Same,Not sure,More,Less
135,20/03/2024,2024,3,N1,Female,Dating,Millennials,Unemployed,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
136,20/03/2024,2024,3,MS1,Female,Cohabiting,Gen X,Unemployed,Low Income,More,More,More,Not sure,Not sure,More,More,More,More,More,More
137,20/03/2024,2024,3,MS1,Female,Single,Gen Z,Unemployed,High Income,Less,Less,Less,Same,Not sure,More,More,More,Less,Less,Less
138,20/03/2024,2024,3,N30,Female,Married,Gen Z,Salaried employee,Low Income,Same,Same,Less,Not sure,Not sure,Same,Same,Less,Less,Less,Same
139,20/03/2024,2024,3,N28,Female,Married,Gen X,Business owner,Middle Income,Same,Same,Same,Same,More,Same,Same,More,Same,Same,Less
140,20/03/2024,2024,3,N21,Female,Divorced/Separated/Widowed,Millennials,Salaried employee,Low Income,Same,Less,Same,Less,Less,Same,Less,Less,Less,Less,Less
141,20/03/2024,2024,3,N6,Female,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Same
142,20/03/2024,2024,3,N1,Male,Dating,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
143,20/03/2024,2024,3,N8,Female,Divorced/Separated/Widowed,Gen Z,Unemployed,Low Income,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Less,Same
144,20/03/2024,2024,3,N12,Female,Single,Gen Z,Student,Low Income,Same,More,Less,Not sure,More,Same,Same,More,More,More,Same
145,20/03/2024,2024,3,N12,Male,Single,Gen Z,Salaried employee,Low Income,Less,Same,Same,Less,Less,Same,Same,Less,Less,Same,Same
146,20/03/2024,2024,3,N41,Male,Married,Millennials,Salaried employee,Low Income,Same,More,Same,More,More,More,More,Same,Same,Same,Same
147,20/03/2024,2024,3,N41,Female,Married,Millennials,Business owner,Low Income,Same,Same,Same,Same,More,Same,More,Same,Same,More,Same
148,20/03/2024,2024,3,N41,Male,Married,Millennials,Unemployed,Low Income,More,More,Same,Same,Same,More,More,More,More,Same,Same
149,20/03/2024,2024,3,MS1,Female,Married,Gen Z,Student,Low Income,More,Not sure,More,Less,Not sure,More,More,More,More,More,More
150,20/03/2024,2024,3,MS1,Female,Married,Gen Z,Self employed/Contractor,Middle Income,Less,Same,Less,Less,Not sure,More,More,More,More,More,More
151,20/03/2024,2024,3,MS1,Female,Divorced/Separated/Widowed,Gen Z,Student,Low Income,Less,Same,Same,More,Not sure,More,More,More,Less,Less,More
152,20/03/2024,2024,3,NK1,Female,Dating,Gen Z,Salaried employee,Low Income,Same,Same,Same,Not sure,Less,Same,Less,Less,Less,Less,Same
153,20/03/2024,2024,3,N2,Female,Married,Gen Z,Salaried employee,Middle Income,Same,Less,Same,Same,Same,Same,Same,Same,Same,Same,Same
154,20/03/2024,2024,3,N2,Female,Married,Gen Z,Salaried employee,Middle Income,Same,More,Same,Same,More,Same,Same,Same,Same,More,Same
155,20/03/2024,2024,3,N42,Female,Cohabiting,Baby Boomers,Salaried employee,Middle Income,Not sure,Same,Less,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Less
156,20/03/2024,2024,3,N20,Female,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Same,Same,Same,Same,Same,Same,Same
157,20/03/2024,2024,3,N18,Female,Dating,Millennials,Salaried employee,Middle Income,More,Same,More,Same,Less,More,Same,More,More,Same,More
158,20/03/2024,2024,3,N30,Male,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Not sure,Not sure,Less,Not sure,Not sure,Less,Same,Same
159,20/03/2024,2024,3,N30,Female,Married,Gen Z,Salaried employee,Low Income,Same,Same,Same,Not sure,Not sure,Less,Less,Not sure,Not sure,Less,Less
160,20/03/2024,2024,3,N28,Female,Single,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
161,20/03/2024,2024,3,N14,Male,Dating,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Not sure,Less,Not sure,Same,Same
162,20/03/2024,2024,3,N10,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Same,Not sure,Same,Less,Same
163,20/03/2024,2024,3,N21,Male,Married,Gen X,Self employed/Contractor,High Income,Same,More,More,Same,Not sure,Same,Same,More,Same,Same,Same
164,20/03/2024,2024,3,N11,Female,Married,Gen X,Business owner,Middle Income,Same,Same,More,Same,Not sure,Same,Less,Same,Not sure,Same,Same
165,20/03/2024,2024,3,N35,Male,Married,Millennials,Self employed/Contractor,Low Income,More,More,More,More,More,Not sure,Not sure,Not sure,Not sure,Same,More
166,20/03/2024,2024,3,N35,Male,Cohabiting,Millennials,Unemployed,Low Income,Same,Same,More,More,Same,Same,Same,Same,Same,Same,Same
167,20/03/2024,2024,3,N35,Male,Married,Millennials,Salaried employee,Middle Income,More,More,More,More,More,More,More,More,More,More,More
168,20/03/2024,2024,3,N11,Female,Single,Gen Z,Student,Low Income,More,More,Same,Same,Less,Same,Same,Less,Less,Less,Less
169,20/03/2024,2024,3,N12,Female,Married,Gen X,Self employed/Contractor,High Income,More,More,More,More,Same,More,More,More,More,More,More
170,20/03/2024,2024,3,N12,Male,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,Less,Same,Less,Less,Less,Less,Less,Same
171,20/03/2024,2024,3,N12,Male,Married,Gen X,Self employed/Contractor,High Income,More,More,More,Less,Not sure,More,Same,More,Same,More,More
172,20/03/2024,2024,3,N36,Male,Divorced/Separated/Widowed,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Not sure,Less,Less,Less,Not sure,Less,Less
173,20/03/2024,2024,3,N35,Male,Married,Millennials,Business owner,Middle Income,More,More,More,More,More,More,More,More,More,More,More
174,20/03/2024,2024,3,N16,Male,Married,Gen X,Business owner,Middle Income,Same,Same,Same,Not sure,Less,Not sure,Not sure,Less,Less,Less,More
175,20/03/2024,2024,3,N43,Male,Cohabiting,Millennials,Self employed/Contractor,Low Income,Less,Less,Same,More,Less,Less,Less,Less,Less,Less,Same
176,20/03/2024,2024,3,N48,Male,Married,Gen X,Business owner,Middle Income,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Same
177,20/03/2024,2024,3,N18,Male,Married,Gen X,Self employed/Contractor,High Income,More,Same,More,Same,More,Same,Same,Same,Same,Same,More
178,20/03/2024,2024,3,N25,Female,Married,Gen Z,Business owner,Middle Income,Same,Same,Same,Not sure,Not sure,Less,Less,Less,Less,Less,Same
179,20/03/2024,2024,3,N43,Female,Cohabiting,Millennials,Self employed/Contractor,Low Income,Less,Same,Same,Same,Not sure,Same,Same,Not sure,Same,Same,Less
