,Period,Location,Marital-status," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
5059,13,22,4,3,3,3,3,3,3,3,3,3,3,3
6931,7,39,4,3,3,3,2,2,3,3,2,3,3,3
7125,7,12,4,1,3,1,3,1,1,3,1,1,3,1
6550,8,53,1,0,1,3,3,1,3,3,1,1,1,3
4151,5,22,4,3,3,3,3,3,3,3,3,3,3,3
2304,11,68,4,3,0,1,3,3,3,1,3,3,3,3
3494,9,65,4,3,3,3,3,3,3,3,3,3,3,3
2275,11,23,4,3,3,3,0,2,3,0,0,3,0,3
5180,13,61,4,3,3,3,2,0,3,3,0,0,0,0
530,12,39,4,1,0,3,2,2,3,2,0,3,0,3
5548,13,43,6,3,3,3,1,3,3,3,1,3,1,3
5741,10,22,1,3,3,3,3,3,3,3,3,3,3,3
710,12,35,4,3,3,3,0,3,0,0,1,0,0,0
1741,1,27,0,3,3,3,0,2,0,0,0,0,0,0
1533,1,21,1,1,3,1,3,1,3,3,0,3,3,3
558,12,67,4,3,3,3,0,0,0,3,3,3,3,0
6207,8,55,4,3,3,3,3,3,3,3,3,3,3,3
6185,8,35,1,3,0,1,1,3,1,1,3,1,1,1
1371,6,65,6,0,0,0,0,0,0,0,0,0,0,0
5974,10,40,6,3,3,1,3,3,1,1,1,1,3,1
6742,7,58,1,3,3,3,3,2,0,0,0,0,0,0
907,12,26,6,3,3,3,3,0,3,2,0,0,0,0
6899,7,43,6,3,3,3,0,3,3,3,0,3,3,3
1433,6,36,4,3,3,3,3,2,3,0,0,0,3,0
3903,9,30,4,3,3,3,2,2,3,3,2,3,3,3
6074,10,44,6,1,3,1,1,1,1,3,3,1,3,3
3774,9,29,4,3,1,1,0,0,3,3,3,3,3,1
3825,9,25,4,3,0,3,1,2,0,0,0,0,3,3
4028,5,54,1,1,1,3,1,0,0,2,2,0,0,3
2022,11,69,0,3,3,1,0,0,3,2,0,2,0,1
2977,0,58,0,3,3,3,3,2,3,3,0,3,3,3
3916,9,49,6,1,1,1,1,0,0,0,3,0,3,1
926,12,22,4,1,3,3,3,0,3,0,0,0,0,3
2578,4,33,1,3,1,1,3,3,3,1,3,1,3,1
3704,9,51,6,1,1,3,3,2,3,0,2,2,1,1
4368,5,33,4,3,3,3,1,1,3,3,3,0,3,3
15,2,27,4,3,3,3,0,2,2,2,0,2,0,0
6475,8,30,4,3,3,3,2,3,3,3,3,3,3,3
315,2,39,4,3,3,0,2,2,0,0,0,3,0,3
6215,8,34,3,0,3,3,1,3,1,0,3,3,3,3
5090,13,46,6,3,3,1,2,2,3,3,0,3,3,3
1161,6,22,1,3,3,3,3,3,3,3,3,3,3,3
4427,5,29,4,3,3,3,3,2,0,0,3,3,0,1
1755,1,26,4,3,0,3,0,0,0,0,0,0,0,0
4827,3,49,5,3,3,3,3,3,2,2,0,0,3,1
1362,6,22,1,0,3,0,3,3,0,3,0,0,3,0
4697,3,36,5,0,0,3,3,0,2,2,2,2,0,1
1212,6,62,4,3,3,0,3,1,2,0,2,2,1,3
4248,5,59,4,3,3,3,3,3,0,3,3,3,3,1
4402,5,54,6,0,0,3,0,0,0,3,0,0,0,0
3254,0,30,4,3,3,3,2,3,2,2,3,3,3,3
5566,13,47,4,1,1,1,2,2,2,1,0,2,0,0
5954,10,35,1,3,3,1,3,3,0,0,1,3,1,3
3801,9,46,4,1,1,3,3,2,3,3,0,3,0,1
1170,6,56,4,0,3,3,3,3,3,3,3,3,3,3
3217,0,29,4,3,1,1,0,0,0,0,3,0,3,1
2691,4,69,0,3,3,3,0,2,3,0,0,0,0,0
2549,4,61,0,3,3,3,0,3,1,3,3,3,3,1
5871,10,56,4,1,1,1,1,1,1,1,1,1,1,1
5380,13,29,1,1,1,1,1,0,0,0,1,0,0,1
1323,6,62,1,3,2,3,3,1,2,1,3,1,0,3
5849,10,51,1,2,2,3,1,0,2,2,0,2,2,2
6046,10,54,4,0,0,3,3,0,0,3,3,0,0,0
2615,4,50,1,3,3,3,2,3,3,3,0,0,0,3
4982,3,64,2,3,3,1,3,2,3,3,0,0,0,3
6603,8,66,1,3,3,3,3,3,0,3,0,0,3,0
4230,5,25,6,3,3,3,3,0,3,3,3,0,0,0
387,2,31,3,3,3,3,1,3,2,0,0,2,3,1
4557,3,23,2,3,3,3,2,2,3,2,2,3,2,1
1032,6,62,1,1,3,0,3,2,0,0,2,3,0,1
4602,3,27,2,3,3,0,3,0,2,2,0,2,0,3
4084,5,38,4,1,1,1,3,1,3,3,3,3,1,0
1905,1,36,4,3,3,3,0,0,3,3,0,3,3,1
4516,5,71,0,1,1,1,1,1,1,1,1,3,3,3
6738,7,59,1,3,3,3,0,2,0,0,0,0,0,3
4442,5,34,6,0,0,1,2,2,0,2,2,0,0,0
1010,6,23,4,3,0,3,0,2,0,0,2,0,0,1
6905,7,42,4,1,1,1,1,1,1,1,1,1,1,1
931,12,27,1,1,3,3,0,2,0,3,0,3,0,0
4877,3,56,7,3,3,1,1,3,3,3,1,1,3,3
691,12,69,4,3,3,1,0,2,3,2,0,3,3,1
533,12,23,4,3,3,3,0,2,3,3,2,3,0,1
6847,7,47,0,1,1,1,1,1,1,2,2,3,3,0
2807,4,58,0,0,0,3,3,2,3,2,2,3,3,3
4940,3,61,5,3,3,3,0,2,3,3,0,3,0,3
652,12,45,4,3,3,3,2,2,3,3,0,0,0,3
33,2,41,4,0,1,1,2,2,1,3,3,3,1,3
4726,3,39,2,3,3,3,2,2,3,3,3,3,3,3
44,2,63,4,3,3,3,3,3,3,3,3,3,3,3
3656,9,50,3,3,3,3,3,2,2,2,2,2,2,2
3109,0,24,6,3,1,3,1,3,1,3,3,3,0,3
964,12,33,4,3,1,1,1,3,1,1,3,1,1,1
6708,7,62,4,3,3,3,1,2,3,0,0,0,3,3
1656,1,23,4,3,3,3,2,3,3,3,3,3,3,1
7106,7,16,4,3,3,3,3,1,3,1,3,3,3,2
3235,0,58,4,3,0,3,0,0,0,0,0,0,3,3
1817,1,58,0,0,0,3,3,2,0,0,0,0,0,3
4428,5,29,1,3,3,3,3,0,3,3,1,3,0,1
3722,9,32,4,3,3,3,3,1,1,1,1,1,1,1
3341,0,25,3,0,0,0,0,1,1,1,0,3,1,3
5335,13,56,3,3,1,1,1,1,1,1,2,2,2,2
4391,5,56,6,0,3,1,1,1,1,3,3,3,3,3
4372,5,33,1,3,0,3,3,0,3,3,3,3,3,3
26,2,29,4,3,3,3,0,3,2,2,3,3,3,1
6935,7,39,4,3,3,3,2,2,3,3,2,0,3,1
63,2,64,4,3,3,3,1,2,3,0,0,0,3,3
1044,6,57,4,1,1,3,3,1,3,1,0,1,1,2
6272,8,58,6,3,3,3,0,2,0,0,0,0,3,3
3274,0,69,0,3,3,3,0,2,0,0,0,0,0,1
2758,4,64,1,3,3,3,3,2,0,3,0,0,0,3
1454,6,41,0,2,1,0,0,1,0,1,2,2,1,3
227,2,42,1,3,3,3,3,3,3,3,3,3,3,3
2453,11,26,6,0,0,0,0,0,0,0,0,0,0,0
5060,13,22,4,3,3,3,3,3,3,3,3,3,3,3
4761,3,42,5,1,1,1,1,1,1,1,1,1,1,1
7087,7,24,0,3,3,1,2,0,0,0,0,0,0,3
4500,5,71,4,3,3,0,0,0,0,0,0,2,0,0
3684,9,26,4,3,3,3,3,3,3,3,3,3,3,3
5119,13,39,4,1,1,1,2,2,3,3,2,3,3,1
969,12,39,4,3,0,3,2,2,3,0,0,3,3,3
4684,3,35,5,1,1,0,3,3,3,3,3,3,3,3
2318,11,29,4,3,3,3,0,0,2,2,2,2,3,3
2154,11,67,4,3,3,1,3,3,3,1,1,3,1,3
1703,1,35,4,3,3,3,1,3,0,0,3,3,3,3
5071,13,36,1,3,1,3,3,0,0,3,1,3,1,1
4434,5,49,4,3,3,3,3,3,3,3,3,3,3,3
4140,5,60,4,1,0,0,0,0,0,0,0,0,3,1
2926,4,46,0,3,3,0,0,2,0,0,0,0,0,0
6252,8,64,6,3,3,3,2,2,3,0,0,3,3,1
3182,0,35,3,3,1,3,1,3,1,2,3,3,1,1
4712,3,38,2,1,1,1,3,3,3,3,0,3,3,3
2357,11,68,4,3,3,3,3,3,3,3,3,3,3,3
4359,5,58,0,3,3,3,3,2,3,2,3,3,3,3
252,2,22,1,0,0,0,0,0,0,0,0,0,0,0
3971,9,28,1,3,3,1,1,2,1,0,0,0,3,1
4633,3,30,0,3,1,3,1,3,3,3,1,3,3,3
1578,1,58,6,0,0,0,0,2,2,2,0,3,3,3
6351,8,46,6,1,1,1,2,2,3,3,0,3,0,1
4934,3,61,5,3,3,1,2,2,0,0,0,0,0,3
4588,3,25,3,0,0,3,2,2,3,3,2,0,0,3
2921,4,29,1,3,3,1,0,3,2,2,3,2,0,0
1860,1,45,1,3,3,0,2,0,3,3,3,0,0,3
4506,5,71,3,1,1,1,1,1,1,1,1,3,0,0
6768,7,56,4,3,3,3,3,3,3,3,3,3,3,3
3089,0,67,4,1,1,1,1,1,1,1,1,1,1,1
5273,13,26,6,3,3,3,3,3,3,3,3,3,3,3
5620,10,42,6,3,3,3,1,3,3,0,3,0,0,0
4618,3,28,2,3,3,1,1,2,3,1,0,1,0,3
2948,4,64,0,1,0,3,0,2,3,3,0,0,0,0
641,12,57,6,3,1,3,3,1,3,2,1,1,3,0
3742,9,67,0,3,3,1,3,1,3,3,1,3,3,3
6018,10,68,1,0,0,3,0,3,0,3,0,3,0,0
2127,11,45,4,1,1,3,0,2,3,3,0,3,0,3
297,2,31,6,3,0,0,0,2,3,0,0,1,0,3
303,2,41,0,1,3,3,2,0,3,0,3,2,3,1
3693,9,42,1,3,3,3,3,3,3,3,3,3,3,3
6530,8,45,4,1,3,1,0,2,3,3,0,0,0,3
3268,0,69,1,0,0,0,0,2,0,0,0,0,0,3
3316,0,61,4,3,3,3,3,2,3,3,3,3,3,3
2115,11,64,6,3,3,3,0,2,2,2,3,3,3,3
6809,7,52,4,3,3,3,3,3,3,3,3,3,3,3
655,12,33,4,3,3,3,3,3,3,3,3,1,3,1
7132,7,6,1,3,3,1,3,3,3,3,1,3,3,3
4767,3,42,2,3,3,3,3,3,3,3,3,3,3,3
6245,8,56,1,1,1,1,1,1,1,1,1,1,1,1
4144,5,60,4,3,3,3,3,3,3,3,3,3,3,3
240,2,41,1,3,0,1,2,2,2,2,0,0,3,1
783,12,36,3,3,3,3,1,1,1,1,3,2,2,1
1354,6,25,4,3,3,3,1,2,2,2,3,0,3,3
1018,6,63,4,3,3,3,3,3,3,3,3,3,3,3
2473,11,31,4,3,3,3,0,2,3,3,2,3,3,3
977,12,57,1,3,1,3,3,3,3,3,3,3,3,3
809,12,67,6,3,3,0,2,2,1,1,1,1,1,1
2684,4,30,4,3,3,3,3,0,3,3,2,0,3,3
2272,11,39,4,3,0,1,2,2,3,0,2,3,0,1
257,2,61,4,3,0,3,3,0,0,0,0,0,0,0
1599,1,45,6,3,3,3,0,2,3,3,3,3,3,3
893,12,25,1,3,1,1,3,0,3,0,0,0,0,0
2182,11,25,3,3,3,3,2,0,3,3,3,3,1,1
6175,8,60,1,1,1,1,1,1,1,1,1,1,1,1
1844,1,68,1,1,3,3,0,2,2,0,0,2,3,3
2526,4,54,4,1,1,1,1,1,3,1,1,1,1,3
6941,7,38,4,3,3,3,3,3,3,3,3,3,3,3
6139,8,23,6,3,3,3,2,2,3,3,2,0,0,3
1620,1,21,6,0,3,1,1,3,0,3,1,3,0,1
2287,11,67,0,0,0,3,3,1,3,3,3,2,3,3
3411,0,48,0,3,1,0,0,3,0,0,3,0,0,3
6812,7,51,6,1,1,1,0,3,3,3,0,0,0,3
5688,10,58,0,3,0,3,2,2,0,0,0,3,3,3
3129,0,41,4,1,0,0,2,0,0,3,1,3,2,1
4472,5,43,4,0,3,1,0,1,1,3,3,2,1,3
1357,6,30,3,3,3,3,1,2,3,3,3,3,3,3
3392,0,31,6,3,3,3,3,3,3,3,3,3,3,3
6159,8,39,6,3,3,3,2,2,0,0,2,0,3,1
2337,11,35,3,1,3,3,3,3,0,1,3,3,0,3
3001,0,23,4,3,1,1,2,0,3,0,0,3,3,3
7044,7,27,1,3,3,3,3,2,2,2,2,2,0,3
4942,3,61,5,3,3,3,0,0,3,3,3,0,0,3
5921,10,24,4,1,3,3,3,3,1,3,3,1,3,1
3014,0,30,6,3,3,3,2,3,3,2,3,3,3,3
4537,5,42,3,3,3,3,3,0,0,0,0,0,0,0
2447,11,22,4,1,1,1,1,1,1,1,1,1,1,1
5165,13,55,4,3,3,3,3,3,3,3,3,3,3,3
2629,4,62,0,2,1,1,1,2,1,3,1,1,1,1
4462,5,46,4,3,1,3,2,2,3,3,3,3,3,3
2771,4,31,3,1,1,3,3,1,1,2,2,2,0,3
6258,8,56,4,3,1,1,2,2,2,2,2,1,2,1
4254,5,30,1,3,3,3,2,0,2,2,0,2,3,3
4173,5,55,4,3,3,3,3,3,3,3,3,3,3,3
1945,1,54,4,0,3,0,3,3,0,3,0,3,0,0
5753,10,22,4,3,3,3,3,3,3,3,3,3,3,3
2155,11,27,4,3,3,3,3,3,3,3,3,3,3,3
4401,5,54,4,3,3,3,3,0,0,3,3,3,0,0
1092,6,37,1,3,3,3,2,2,0,0,3,1,3,1
5004,3,65,3,1,1,1,1,1,1,1,1,1,1,1
124,2,30,0,3,1,3,1,0,3,3,3,3,1,1
5679,10,65,4,1,1,1,1,0,3,3,0,3,3,1
6657,7,65,4,1,1,1,3,0,3,3,0,3,3,3
4362,5,67,1,3,3,1,1,1,1,3,3,1,1,1
2094,11,50,0,3,3,3,3,3,3,3,3,3,3,3
6008,10,37,1,3,3,3,3,3,3,3,3,3,3,3
2900,4,61,4,3,3,3,1,1,3,3,3,0,0,3
1553,1,64,6,3,3,3,0,0,3,3,0,0,3,0
3317,0,46,1,3,3,3,0,2,0,0,0,0,0,0
5897,10,45,4,1,3,0,0,2,0,0,0,0,0,3
598,12,69,1,3,3,0,2,2,0,2,0,2,0,3
75,2,65,4,3,3,3,3,2,3,0,0,0,0,3
1339,6,69,4,3,3,3,0,0,0,2,0,2,0,3
1416,6,39,1,0,3,1,2,2,0,0,0,0,0,3
2957,4,21,1,1,1,1,1,3,3,3,3,0,3,1
1782,1,39,4,0,0,0,0,2,0,2,2,0,0,3
2283,11,54,4,0,3,0,1,3,0,3,3,0,3,3
5918,10,24,4,0,3,3,3,1,3,3,1,1,3,1
4741,3,40,5,3,3,3,0,0,0,0,0,0,0,0
2932,4,67,6,3,3,0,3,0,0,0,0,0,0,0
149,2,21,4,1,2,1,0,2,1,1,1,1,1,1
5412,13,38,0,3,1,1,1,3,1,3,1,3,3,3
1557,1,26,6,0,0,0,0,0,0,0,0,0,0,0
4077,5,23,4,1,1,3,2,0,3,0,2,3,0,3
453,2,25,6,0,0,0,2,0,0,2,0,0,0,0
1786,1,42,4,3,3,3,3,3,3,3,3,3,3,3
6034,10,68,6,0,0,3,0,3,0,0,1,3,3,1
415,2,61,1,3,3,3,0,2,3,0,0,0,0,3
3306,0,36,4,3,3,3,3,3,0,0,0,0,0,0
808,12,36,0,1,3,3,1,1,1,3,1,1,1,1
5087,13,22,6,3,3,3,3,3,3,3,3,3,3,3
3477,9,65,4,1,1,3,3,2,0,3,0,3,3,3
6543,8,50,4,3,3,3,1,2,3,3,0,3,0,3
6157,8,35,4,1,1,0,3,2,1,0,0,0,3,1
1119,6,27,4,3,3,3,0,2,3,3,0,3,3,3
5128,13,63,4,3,1,1,1,1,1,3,1,1,3,1
810,12,49,6,3,3,3,3,2,3,3,3,3,3,3
4568,3,24,5,1,3,3,3,2,3,3,1,3,3,3
1129,6,56,4,0,3,1,1,3,3,3,1,1,1,3
834,12,24,6,1,3,3,1,2,1,3,3,3,1,3
2499,4,23,4,3,3,3,0,2,3,3,2,3,0,1
6062,10,66,1,3,3,3,3,2,3,3,0,0,3,3
6846,7,47,1,1,1,1,1,1,3,3,3,0,0,0
5693,10,52,6,3,3,3,3,3,3,3,3,3,3,3
1235,6,50,4,1,1,1,3,2,3,3,1,1,1,2
1225,6,50,1,3,3,1,0,2,2,2,3,2,1,0
5220,13,39,4,1,1,1,2,2,3,3,2,3,3,1
2432,11,50,6,3,3,3,3,3,2,2,2,2,3,3
7156,7,5,4,3,1,3,3,3,3,3,3,3,1,3
6791,7,44,4,1,1,1,1,0,1,3,1,0,0,3
4365,5,33,6,3,3,3,3,3,1,3,3,3,3,3
5697,10,63,4,3,1,1,1,1,3,1,3,1,3,1
4796,3,45,2,1,3,1,3,2,3,3,3,3,3,3
5019,3,66,5,1,1,3,3,0,3,3,3,0,3,3
2266,11,39,1,3,3,1,2,2,3,0,0,3,3,1
1027,6,33,4,1,3,1,1,3,1,3,3,3,3,1
3194,0,35,3,1,1,3,3,1,3,1,1,3,1,1
2288,11,67,6,3,1,1,1,3,3,3,1,3,3,3
1657,1,22,3,3,3,0,3,3,3,3,3,3,1,1
349,2,41,6,0,0,2,2,1,3,2,3,3,1,1
452,2,49,4,3,3,1,0,3,0,0,3,3,0,1
662,12,58,4,0,0,1,0,3,2,2,2,2,3,3
172,2,50,3,0,0,0,0,2,0,0,0,2,0,0
1405,6,64,6,3,3,3,0,2,2,2,0,0,0,3
4296,5,57,6,1,1,1,1,1,1,3,1,3,1,1
4326,5,26,6,0,0,0,0,0,0,0,0,0,0,0
4629,3,30,5,1,1,3,2,3,3,2,2,2,1,1
422,2,26,6,3,3,3,3,3,3,0,0,0,0,3
2107,11,67,1,3,1,3,3,3,1,3,3,3,1,3
1954,1,62,1,3,0,0,0,3,2,0,2,3,2,0
881,12,34,4,3,0,0,1,0,0,0,0,0,3,0
2458,11,45,6,3,3,3,0,2,0,0,2,0,0,0
1253,6,41,6,1,0,3,2,1,2,2,2,3,0,3
5112,13,67,0,3,0,1,3,3,1,3,0,3,0,3
6318,8,52,4,3,3,3,3,3,3,3,3,3,3,3
4025,5,36,3,0,0,0,2,2,2,2,2,0,0,0
4196,5,20,1,1,1,3,1,3,3,3,3,0,0,3
6673,7,63,4,3,1,1,1,1,3,1,3,3,1,3
6084,8,63,4,3,1,1,1,1,3,1,3,3,1,3
102,2,68,1,3,3,3,3,3,3,3,3,3,3,3
3257,0,30,1,3,3,0,3,0,2,2,2,2,3,0
4378,5,61,4,3,3,3,0,2,0,0,2,3,3,3
6792,7,44,1,1,3,3,3,3,1,0,1,3,1,3
7075,7,25,4,0,3,1,0,0,3,3,0,3,0,1
4905,3,58,5,0,3,3,3,2,0,0,0,3,3,3
1580,1,68,1,3,3,3,0,3,3,3,3,3,1,3
3721,9,32,4,3,3,3,1,3,3,1,3,3,3,3
6515,8,61,1,3,3,3,2,2,0,0,0,0,3,3
3260,0,62,4,3,0,3,1,2,3,0,3,3,3,3
6277,8,59,1,3,3,1,2,2,0,0,0,0,3,3
5283,13,30,4,3,1,3,3,3,1,3,3,0,3,3
135,2,22,1,3,3,3,3,3,3,3,3,3,3,3
2618,4,23,4,3,3,3,0,2,3,3,2,3,0,3
4997,3,63,5,3,3,3,3,3,3,3,3,3,3,3
1310,6,39,4,3,3,3,0,3,3,2,0,3,3,3
6441,8,25,1,0,3,0,0,2,0,0,2,0,0,0
6939,7,39,4,3,3,3,2,0,3,0,2,0,3,3
3871,9,68,4,3,1,1,3,3,3,3,1,1,1,3
4502,5,71,4,1,1,1,0,0,0,0,0,0,0,0
5349,13,56,3,1,1,3,1,1,1,1,1,3,3,3
6213,8,65,6,1,1,1,1,0,3,3,0,3,3,1
6334,8,5,4,1,3,3,3,3,3,1,3,3,3,3
1934,1,45,4,0,3,3,0,2,3,3,0,0,0,3
2561,4,42,4,3,3,3,3,3,3,3,3,3,3,3
2210,11,34,4,0,0,0,0,0,0,0,0,0,0,0
807,12,36,6,1,1,1,1,1,1,1,1,1,3,3
6178,8,34,0,3,3,3,2,2,3,3,1,3,3,3
462,2,69,1,3,3,3,2,2,0,0,0,0,0,0
879,12,26,4,3,3,3,3,3,3,0,0,0,3,3
5107,13,60,3,1,3,3,3,3,0,3,1,0,3,1
3838,9,67,3,3,3,1,3,3,3,3,3,1,1,1
7023,7,30,4,3,0,3,3,2,3,2,3,2,3,1
4706,3,38,0,1,1,1,3,0,0,0,0,0,1,1
7014,7,32,1,3,3,3,3,3,3,3,3,3,3,3
799,12,29,4,3,1,1,0,2,3,3,3,3,3,1
354,2,22,1,3,3,3,3,3,3,3,3,3,3,3
6376,8,42,6,3,3,3,3,3,3,3,3,3,3,3
1073,6,62,1,0,1,2,0,2,3,2,3,0,3,1
2707,4,42,4,3,3,3,3,3,3,3,3,3,3,3
2215,11,63,4,3,3,3,3,0,0,0,0,0,3,3
144,2,25,6,3,1,0,2,1,3,3,1,1,1,3
380,2,31,6,0,3,3,0,0,0,2,1,2,3,1
1340,6,69,4,3,3,3,2,0,2,2,0,2,0,3
2488,4,41,4,0,0,3,0,2,3,0,1,2,1,3
5243,13,65,4,3,3,3,3,0,3,3,3,3,3,1
121,2,24,1,1,3,3,3,3,3,3,0,3,3,0
2407,11,41,1,0,3,0,1,0,1,3,0,3,3,2
4441,5,38,6,3,3,3,3,0,0,3,3,0,0,3
4917,3,59,7,3,3,3,0,2,3,3,1,3,3,3
1360,6,27,0,3,1,3,0,2,0,0,2,3,3,3
418,2,35,6,3,3,3,3,3,3,3,3,3,3,3
3771,9,33,1,3,1,3,3,3,3,1,1,3,1,1
5647,10,62,1,1,0,3,1,3,0,1,1,1,1,1
1514,1,50,0,1,1,1,1,0,3,3,3,3,3,3
4724,3,39,5,3,1,3,2,2,3,0,2,0,0,3
6005,10,64,4,1,1,3,0,2,3,3,0,3,0,0
2227,11,26,6,3,3,3,3,3,3,3,3,3,3,3
7124,7,13,6,3,3,1,3,3,3,3,1,3,1,3
555,12,21,4,1,0,3,1,1,1,1,1,1,1,1
3358,0,20,4,3,3,3,3,2,1,1,1,3,3,3
7048,7,27,4,3,3,3,3,0,0,2,0,2,0,3
2697,4,67,1,3,3,3,3,3,3,3,3,3,3,3
1485,6,27,4,3,3,3,0,2,0,0,0,0,0,0
5105,13,60,4,3,3,3,3,3,3,3,3,3,3,3
1272,6,33,4,3,1,1,3,3,3,3,1,1,3,1
6710,7,61,6,3,1,1,2,2,0,0,0,2,3,3
1411,6,33,4,3,1,3,1,1,1,1,1,1,3,1
4864,3,51,5,0,3,1,3,1,1,3,3,1,1,3
6541,8,50,4,1,1,1,1,2,3,3,0,3,0,1
1471,6,62,1,2,0,0,0,0,3,0,3,0,3,0
3790,9,33,1,3,1,3,1,3,3,3,1,3,3,3
5603,10,42,4,3,3,3,3,3,3,3,3,3,3,3
2273,11,49,0,3,3,3,3,0,0,0,0,3,3,3
5736,10,26,6,3,3,3,3,3,3,3,3,3,3,3
4229,5,22,0,3,3,3,3,3,3,3,3,3,3,3
3617,9,62,4,1,3,0,2,2,0,3,1,1,3,1
6221,8,24,0,1,3,1,2,2,3,3,0,0,3,3
3279,0,49,4,3,3,3,3,3,3,3,3,3,3,3
6560,8,51,3,3,0,1,3,2,1,1,0,1,1,3
7006,7,22,1,1,1,1,1,1,1,1,1,1,1,1
1840,1,26,6,3,3,3,0,0,0,0,0,0,0,0
6724,7,60,4,1,1,3,3,2,3,2,3,2,3,1
981,6,31,6,0,3,0,3,3,3,0,0,1,3,3
1732,1,65,4,3,3,3,3,2,0,0,0,0,0,0
6078,10,44,4,3,1,3,1,2,3,3,1,1,3,3
2264,11,62,1,2,0,2,1,2,3,0,2,1,0,3
5887,10,61,1,3,3,1,0,0,3,0,0,0,3,3
6315,8,52,4,3,3,3,3,2,3,3,2,3,3,3
1268,6,24,6,1,3,1,1,2,0,0,0,3,3,1
414,2,68,3,3,3,3,3,3,3,3,3,3,3,3
4454,5,64,4,3,3,3,0,3,3,3,3,3,3,3
